X,Y
2.193571512,0
3.273130354,0
4.951766535,0
4.683765731,0
5.880769898,0
3.681878873,0
3.949039531,0
1.613498065,0
4.1100542,0
2.722022039,0
1.979528755,0
2.942019713,0
2.512629074,0
4.706944204,0
2.665656105,0
2.208100689,0
3.237013182,0
3.548081971,0
1.792186489,0
3.327959242,0
7.769120222,1
9.04300625,1
6.982611942,1
7.704965603,1
8.473975206,1
6.833054633,1
7.791846221,1
7.580297754,1
8.540452447,1
6.504445102,1
8.087972012,1
6.797720764,1
5.124104993,1
7.294377631,1
10.25831172,1
7.659826244,1
8.977754553,1
8.511811322,1
8.165026677,1
7.641613613,1
